,accuracy,capturedAt,convergenceStatus,latitude,longitude,planterCheckInId,treeUuid
1780,6,1601876436027,CONVERGED,-6.659218948550885,37.62108100498522,1,99fe879a-2c45-4a15-930b-afd23dd49860
1792,6,1601876453378,CONVERGED,-6.659240220550963,37.6210880836451,1,2420e472-456c-4c12-a98e-7b32f4daae7c
1804,6,1601876470243,CONVERGED,-6.659219704962071,37.621110689214994,1,7d59e185-7807-48a0-850f-5da15ffbf057
1823,6,1601876494433,CONVERGED,-6.659191045488442,37.62121526959985,1,7956fcb1-4ce3-4bec-8990-447885ea988f
1839,6,1601876510033,CONVERGED,-6.659186996322774,37.6212563760746,1,ae0e5ae0-9d93-4d4d-b83c-18db5154718f
1856,6,1601876527303,CONVERGED,-6.659184324649228,37.62125008898221,1,c1ce74cc-9659-4a51-ad7a-5a830151ded5
1871,8,1601876542753,CONVERGED,-6.659201310706665,37.62128538289029,1,2c410c9f-0e49-4251-b389-973db29b78d8
1886,6,1601876559451,CONVERGED,-6.659169935512768,37.62131320399889,1,d69e6efa-fca4-470a-9d20-89a91bacdaf0
1901,6,1601876575255,CONVERGED,-6.659157603619044,37.62133710542193,1,d0cba249-b9f9-4058-ac9f-8232f03d24eb
1915,8,1601876590643,CONVERGED,-6.6591563805635685,37.62135654865712,1,baaa7a2c-b820-4c43-9672-7b1ddf39cf61
1927,6,1601876605500,CONVERGED,-6.659127447155329,37.621376203984106,1,9886150e-1dab-4a02-8bac-063bea372460
1955,6,1601876634574,CONVERGED,-6.659111000545965,37.62145176167756,1,dd40f1e8-95ae-4dc1-9641-4d6e9f64b6e6
1972,6,1601876655139,CONVERGED,-6.659102665603991,37.62151644252876,1,6e265ffe-c2d8-4f04-93c6-a3d51f76a6ce
1984,6,1601876670314,CONVERGED,-6.6591087263315005,37.62153372218319,1,d8001332-683f-4450-be01-8e0561e77dc8
1996,6,1601876685450,CONVERGED,-6.659099399345228,37.62156071263885,1,0373b827-7678-46fb-9f9f-61c4e0dc74bb
2008,8,1601876700186,CONVERGED,-6.659079709420137,37.621575862566814,1,0b403d3d-2390-4222-a079-d80097924cfb
2019,6,1601876715995,CONVERGED,-6.65908247571632,37.621604787466815,1,9e291cb2-930d-4a45-bc1b-61824cc29774
2033,8,1601876734448,CONVERGED,-6.6590961454005555,37.6216821860282,1,30e55c8c-96ca-432c-8058-dbeba84623b7
2048,4,1601876753042,CONVERGED,-6.659078321300132,37.62167796285274,1,71661200-76b1-4aff-83cd-a36696e344ec
2061,6,1601876771921,CONVERGED,-6.6590608018220285,37.62168198224918,1,e382d1d7-40ab-4afc-9395-914da21e16ac
2082,8,1601876804719,CONVERGED,-6.659071177693812,37.62173078719079,1,c97dc632-83df-4b4e-8b99-de3329996612
2095,6,1601876824156,CONVERGED,-6.659043134164776,37.62181257468285,1,770c9328-9868-425b-a0a6-8e603dc9a6c4
2174,8,1601876908565,CONVERGED,-6.6592872244486285,37.62110403555572,1,272f0762-dd8d-46f0-b7c6-122d1090343a
2189,8,1601876929282,CONVERGED,-6.659275429779327,37.62111188303695,1,367e0183-83b9-46be-941a-721ac2dee3c1
2205,8,1601876950268,CONVERGED,-6.659241027656322,37.62117444098039,1,96d7fa7f-7526-439e-9e24-fe428c71f943
2216,6,1601876969100,CONVERGED,-6.659256181715435,37.62116695679594,1,00b435f5-5649-4fcc-8eaf-7a7e41e0f9f6
2230,6,1601876989765,CONVERGED,-6.659271737890863,37.6212212286489,1,39634d49-f7e9-48e7-be84-6a6681e8e4b1
2247,4,1601877006932,CONVERGED,-6.6592612249505665,37.62121510706686,1,789b7c48-f5b7-49ea-8d08-003a87089096
2263,4,1601877023561,CONVERGED,-6.659230636234348,37.621281190435866,1,c9a1005c-9b1b-4a34-8a79-a549f32abd6d
2284,6,1601877046034,CONVERGED,-6.659197072773185,37.62133156760397,1,288b1c07-2464-49c9-a791-33e922b78e6a
2302,4,1601877063600,CONVERGED,-6.659199442925595,37.62135864547743,1,d0010c29-622f-447a-b845-3afcc4f84c61
2320,6,1601877082701,CONVERGED,-6.65921806301165,37.62136648931832,1,d8e46531-ed4d-4a7f-9ce9-258b00ff25fe
2337,16,1601877101138,CONVERGED,-6.659190466190727,37.62140617401061,1,cca10030-e3c4-4c59-a954-35a71daf4df4
2354,6,1601877120763,CONVERGED,-6.65917987972826,37.62142011149124,1,5d67f3c8-6563-4ff9-b77a-f5d2a1680c4d
2370,6,1601877138762,CONVERGED,-6.6591961326710924,37.621438907189905,1,0f43c6a7-1dc5-447b-b154-e3a528051e85
